graph,vars,clauses
g.12.123.gml.cnf, 143, 1764
g.12.124.gml.cnf, 156, 1860
g.12.126.gml.cnf, 296, 2612
g.12.128.gml.cnf, 218, 2320
g.12.133.gml.cnf, 236, 2266
g.12.134.gml.cnf, 296, 2820
g.12.135.gml.cnf, 143, 1684
g.12.138.gml.cnf, 296, 2876
g.12.140.gml.cnf, 296, 2876
g.12.141.gml.cnf, 218, 2264
g.12.145.gml.cnf, 416, 3618
g.12.146.gml.cnf, 275, 2676
g.12.22.gml.cnf, 390, 3408
g.12.31.gml.cnf, 365, 3240
g.12.34.gml.cnf, 236, 2370
g.12.35.gml.cnf, 236, 2370
g.12.40.gml.cnf, 626, 5104
g.12.43.gml.cnf, 156, 1884
g.12.45.gml.cnf, 156, 1884
g.12.48.gml.cnf, 156, 1884
g.12.49.gml.cnf, 156, 1892
g.12.50.gml.cnf, 156, 1900
g.12.51.gml.cnf, 156, 1876
g.12.52.gml.cnf, 156, 1852
g.12.55.gml.cnf, 185, 2090
g.12.60.gml.cnf, 443, 3686
g.12.62.gml.cnf, 416, 3522
g.12.63.gml.cnf, 593, 4888
g.12.64.gml.cnf, 156, 1820
g.12.66.gml.cnf, 143, 1764
g.12.7.gml.cnf, 185, 2082
g.12.75.gml.cnf, 626, 5104
g.12.76.gml.cnf, 626, 5104
g.12.77.gml.cnf, 255, 2566
g.12.78.gml.cnf, 218, 2272
g.12.79.gml.cnf, 443, 3686
g.12.8.gml.cnf, 318, 2982
g.12.88.gml.cnf, 660, 5330
g.12.89.gml.cnf, 201, 2176
g.12.9.gml.cnf, 236, 2370
g.12.90.gml.cnf, 218, 2312
g.12.91.gml.cnf, 471, 3876
g.12.92.gml.cnf, 143, 1452
g.12.93.gml.cnf, 275, 2684
g.12.94.gml.cnf, 185, 2042
g.12.98.gml.cnf, 365, 3216
g.12.99.gml.cnf, 218, 2288
g.13.102.gml.cnf, 213, 2612
g.13.105.gml.cnf, 213, 2596
g.13.111.gml.cnf, 213, 2604
g.13.114.gml.cnf, 168, 2248
g.13.116.gml.cnf, 330, 3386
g.13.117.gml.cnf, 353, 3574
g.13.12.gml.cnf, 182, 2394
g.13.120.gml.cnf, 168, 2216
g.13.17.gml.cnf, 168, 2224
g.13.21.gml.cnf, 197, 2502
g.13.25.gml.cnf, 168, 2232
g.13.26.gml.cnf, 197, 2438
g.13.29.gml.cnf, 182, 2410
g.13.30.gml.cnf, 197, 2478
g.13.31.gml.cnf, 308, 3280
g.13.34.gml.cnf, 980, 7734
g.13.35.gml.cnf, 230, 2740
g.13.36.gml.cnf, 213, 2556
g.13.37.gml.cnf, 213, 2564
g.13.38.gml.cnf, 213, 2556
g.13.41.gml.cnf, 168, 2264
g.13.42.gml.cnf, 182, 2362
g.13.44.gml.cnf, 287, 3144
g.13.45.gml.cnf, 168, 2136
g.13.46.gml.cnf, 182, 2386
g.13.47.gml.cnf, 168, 2184
g.13.48.gml.cnf, 1455, 11392
g.13.49.gml.cnf, 1455, 11392
g.13.51.gml.cnf, 1455, 11392
g.13.52.gml.cnf, 672, 5798
g.13.53.gml.cnf, 605, 5236
g.13.54.gml.cnf, 287, 3088
g.13.55.gml.cnf, 168, 2016
g.13.57.gml.cnf, 168, 2024
g.13.6.gml.cnf, 168, 2296
g.13.60.gml.cnf, 213, 2540
g.13.61.gml.cnf, 308, 3248
g.13.62.gml.cnf, 248, 2814
g.13.63.gml.cnf, 638, 5460
g.13.67.gml.cnf, 168, 2144
g.13.68.gml.cnf, 168, 2016
g.13.69.gml.cnf, 168, 2272
g.13.7.gml.cnf, 168, 1872
g.13.76.gml.cnf, 213, 2604
g.13.77.gml.cnf, 168, 2224
g.13.78.gml.cnf, 230, 2708
g.13.79.gml.cnf, 287, 3080
g.13.80.gml.cnf, 248, 2774
g.13.81.gml.cnf, 168, 2240
g.13.83.gml.cnf, 168, 2288
g.13.84.gml.cnf, 248, 2838
g.13.85.gml.cnf, 168, 2248
g.13.86.gml.cnf, 308, 3264
g.13.87.gml.cnf, 287, 3104
g.13.88.gml.cnf, 230, 2612
g.13.9.gml.cnf, 168, 2272
g.13.91.gml.cnf, 197, 2502
g.13.92.gml.cnf, 213, 2612
g.13.93.gml.cnf, 230, 2612
g.13.94.gml.cnf, 638, 5420
g.13.95.gml.cnf, 377, 3708
g.13.96.gml.cnf, 213, 2612
g.13.97.gml.cnf, 213, 2596
g.13.99.gml.cnf, 455, 4306
g.14.0.gml.cnf, 210, 2922
g.14.1.gml.cnf, 226, 3104
g.14.12.gml.cnf, 210, 2978
g.14.13.gml.cnf, 243, 3192
g.14.14.gml.cnf, 210, 2922
g.14.15.gml.cnf, 195, 2790
g.14.16.gml.cnf, 195, 2822
g.14.17.gml.cnf, 243, 3184
g.14.19.gml.cnf, 210, 2898
g.14.2.gml.cnf, 226, 2832
g.14.20.gml.cnf, 496, 4932
g.14.21.gml.cnf, 441, 4514
g.14.22.gml.cnf, 441, 4514
g.14.23.gml.cnf, 441, 4490
g.14.24.gml.cnf, 441, 4490
g.14.25.gml.cnf, 390, 4160
g.14.26.gml.cnf, 390, 4160
g.14.27.gml.cnf, 415, 4312
g.14.28.gml.cnf, 415, 4312
g.14.31.gml.cnf, 195, 2854
g.14.33.gml.cnf, 343, 3870
g.14.34.gml.cnf, 343, 3870
g.14.35.gml.cnf, 195, 2782
g.14.36.gml.cnf, 226, 3064
g.14.37.gml.cnf, 210, 2874
g.14.38.gml.cnf, 343, 3918
g.14.39.gml.cnf, 195, 2822
g.14.40.gml.cnf, 210, 2842
g.14.43.gml.cnf, 195, 2854
g.14.47.gml.cnf, 226, 2912
g.14.55.gml.cnf, 195, 2742
g.14.57.gml.cnf, 366, 4018
g.14.58.gml.cnf, 366, 4018
g.14.59.gml.cnf, 210, 2914
g.14.6.gml.cnf, 280, 3438
g.14.60.gml.cnf, 243, 3216
g.14.61.gml.cnf, 243, 3208
g.14.62.gml.cnf, 831, 7326
g.14.65.gml.cnf, 195, 2814
g.14.66.gml.cnf, 300, 3548
g.14.67.gml.cnf, 261, 3362
g.14.68.gml.cnf, 280, 3462
g.14.7.gml.cnf, 195, 2366
g.14.9.gml.cnf, 226, 2832
g.15.10.gml.cnf, 335, 4214
g.15.11.gml.cnf, 257, 3658
g.15.12.gml.cnf, 224, 3508
g.15.13.gml.cnf, 224, 3508
g.15.14.gml.cnf, 240, 3634
g.15.17.gml.cnf, 224, 3492
g.15.2.gml.cnf, 224, 3500
g.15.20.gml.cnf, 224, 3292
g.15.21.gml.cnf, 275, 3884
g.15.22.gml.cnf, 539, 5726
g.15.23.gml.cnf, 539, 5726
g.15.24.gml.cnf, 224, 3468
g.15.26.gml.cnf, 257, 3498
g.15.28.gml.cnf, 2315, 19084
g.15.29.gml.cnf, 455, 5228
g.15.3.gml.cnf, 257, 3522
g.15.31.gml.cnf, 257, 3578
g.15.32.gml.cnf, 257, 3578
g.15.33.gml.cnf, 224, 3124
g.15.34.gml.cnf, 224, 3036
g.15.35.gml.cnf, 224, 3468
g.15.38.gml.cnf, 224, 3036
g.15.39.gml.cnf, 224, 3564
g.15.40.gml.cnf, 482, 5344
g.15.41.gml.cnf, 482, 5320
g.15.43.gml.cnf, 224, 3204
g.15.47.gml.cnf, 257, 3570
g.15.48.gml.cnf, 482, 5256
g.15.49.gml.cnf, 224, 3540
g.15.50.gml.cnf, 335, 4358
g.15.52.gml.cnf, 314, 4198
g.15.56.gml.cnf, 224, 3492
g.15.59.gml.cnf, 357, 4472
g.15.6.gml.cnf, 257, 3778
g.15.7.gml.cnf, 294, 4072
g.15.8.gml.cnf, 294, 4040
g.15.9.gml.cnf, 257, 3698
g.16.16.gml.cnf, 350, 5004
g.16.17.gml.cnf, 272, 4448
g.16.18.gml.cnf, 309, 4694
g.16.21.gml.cnf, 290, 4530
g.16.23.gml.cnf, 255, 4280
g.16.25.gml.cnf, 255, 4280
g.16.27.gml.cnf, 255, 4168
g.16.28.gml.cnf, 372, 5190
g.16.31.gml.cnf, 497, 5750
g.16.34.gml.cnf, 272, 3936
g.16.36.gml.cnf, 1344, 12752
g.16.5.gml.cnf, 290, 4482
g.16.50.gml.cnf, 525, 6212
g.16.52.gml.cnf, 255, 4272
g.16.55.gml.cnf, 290, 4282
g.16.57.gml.cnf, 329, 4860
g.16.58.gml.cnf, 272, 4408
g.16.59.gml.cnf, 554, 5804
g.16.60.gml.cnf, 785, 7612
g.16.61.gml.cnf, 444, 5616
g.16.62.gml.cnf, 255, 3600
g.16.63.gml.cnf, 470, 5794
g.16.64.gml.cnf, 584, 6742
g.16.65.gml.cnf, 255, 3888
g.16.66.gml.cnf, 680, 7616
g.16.70.gml.cnf, 255, 4200
g.16.76.gml.cnf, 255, 4200
g.16.79.gml.cnf, 255, 4136
g.16.8.gml.cnf, 290, 4482
g.16.80.gml.cnf, 419, 5536
g.16.81.gml.cnf, 419, 5504
g.16.82.gml.cnf, 419, 5496
g.16.9.gml.cnf, 372, 5094
g.16.91.gml.cnf, 470, 5914
g.16.95.gml.cnf, 395, 5298
g.17.10.gml.cnf, 1566, 14516
g.17.11.gml.cnf, 306, 4498
g.17.12.gml.cnf, 288, 4568
g.17.13.gml.cnf, 288, 4568
g.17.17.gml.cnf, 288, 4568
g.17.18.gml.cnf, 288, 5136
g.17.2.gml.cnf, 366, 5764
g.17.20.gml.cnf, 435, 6104
g.17.21.gml.cnf, 513, 6614
g.17.23.gml.cnf, 325, 5166
g.17.24.gml.cnf, 345, 5612
g.17.26.gml.cnf, 366, 5764
g.17.28.gml.cnf, 325, 5470
g.17.3.gml.cnf, 411, 6074
g.17.30.gml.cnf, 3621, 30878
g.17.31.gml.cnf, 435, 6120
g.17.32.gml.cnf, 411, 6090
g.17.33.gml.cnf, 345, 5564
g.17.34.gml.cnf, 460, 6344
g.17.36.gml.cnf, 435, 6160
g.17.37.gml.cnf, 288, 5080
g.17.39.gml.cnf, 288, 5064
g.17.4.gml.cnf, 366, 5748
g.17.40.gml.cnf, 486, 6650
g.17.41.gml.cnf, 541, 7076
g.17.42.gml.cnf, 288, 5056
g.17.45.gml.cnf, 325, 5438
g.17.6.gml.cnf, 366, 5772
g.17.7.gml.cnf, 288, 5160
g.17.8.gml.cnf, 460, 6256
g.17.9.gml.cnf, 288, 5136
g.18.0.gml.cnf, 405, 6414
g.18.1.gml.cnf, 747, 9386
g.18.10.gml.cnf, 405, 6694
g.18.11.gml.cnf, 530, 7478
g.18.12.gml.cnf, 383, 6588
g.18.13.gml.cnf, 323, 5626
g.18.14.gml.cnf, 405, 6758
g.18.15.gml.cnf, 323, 6122
g.18.16.gml.cnf, 323, 6122
g.18.17.gml.cnf, 342, 6262
g.18.18.gml.cnf, 342, 6142
g.18.19.gml.cnf, 477, 7064
g.18.2.gml.cnf, 558, 7844
g.18.20.gml.cnf, 323, 5202
g.18.21.gml.cnf, 452, 7008
g.18.22.gml.cnf, 477, 7208
g.18.24.gml.cnf, 477, 7208
g.18.26.gml.cnf, 362, 6372
g.18.28.gml.cnf, 342, 6214
g.18.29.gml.cnf, 383, 6532
g.18.30.gml.cnf, 530, 7326
g.18.31.gml.cnf, 405, 6782
g.18.34.gml.cnf, 405, 6622
g.18.35.gml.cnf, 405, 6654
g.18.36.gml.cnf, 617, 7518
g.18.37.gml.cnf, 323, 5938
g.18.38.gml.cnf, 558, 7916
g.18.4.gml.cnf, 405, 6478
g.18.41.gml.cnf, 323, 6010
g.18.5.gml.cnf, 342, 6182
g.18.6.gml.cnf, 383, 6604
g.18.7.gml.cnf, 342, 6238
g.18.8.gml.cnf, 428, 6954
g.18.9.gml.cnf, 362, 6348
g.19.0.gml.cnf, 495, 8142
g.19.11.gml.cnf, 495, 8262
g.19.12.gml.cnf, 446, 7720
g.19.18.gml.cnf, 360, 7012
g.19.19.gml.cnf, 360, 7012
g.19.20.gml.cnf, 401, 7482
g.19.21.gml.cnf, 401, 7482
g.19.22.gml.cnf, 765, 10456
g.19.23.gml.cnf, 380, 7378
g.19.24.gml.cnf, 446, 7872
g.19.25.gml.cnf, 446, 7872
g.19.26.gml.cnf, 446, 7872
g.19.27.gml.cnf, 446, 7872
g.19.28.gml.cnf, 446, 7872
g.19.29.gml.cnf, 446, 7880
g.19.31.gml.cnf, 548, 8724
g.19.32.gml.cnf, 380, 7290
g.19.34.gml.cnf, 1251, 13644
g.19.35.gml.cnf, 380, 7290
g.19.36.gml.cnf, 666, 8816
g.19.38.gml.cnf, 380, 6858
g.19.39.gml.cnf, 470, 7990
g.19.4.gml.cnf, 495, 8190
g.19.40.gml.cnf, 446, 7848
g.19.41.gml.cnf, 446, 7744
g.19.43.gml.cnf, 360, 7180
g.19.44.gml.cnf, 401, 7506
g.19.45.gml.cnf, 380, 7354
g.19.6.gml.cnf, 495, 8270
g.19.7.gml.cnf, 521, 8440
g.19.8.gml.cnf, 446, 7896
g.19.9.gml.cnf, 446, 7784
g.20.1.gml.cnf, 1135, 14342
g.20.13.gml.cnf, 4284, 39210
g.20.14.gml.cnf, 540, 9530
g.20.2.gml.cnf, 750, 11224
g.20.22.gml.cnf, 442, 8774
g.20.26.gml.cnf, 892, 12444
g.20.28.gml.cnf, 685, 10538
g.20.29.gml.cnf, 685, 10538
g.20.3.gml.cnf, 420, 8564
g.20.30.gml.cnf, 717, 10808
g.20.31.gml.cnf, 855, 11748
g.20.34.gml.cnf, 489, 8736
g.20.36.gml.cnf, 1464, 16130
g.20.37.gml.cnf, 399, 8292
g.20.39.gml.cnf, 717, 10808
g.20.4.gml.cnf, 465, 8922
g.20.40.gml.cnf, 595, 9676
g.20.41.gml.cnf, 685, 10330
g.20.42.gml.cnf, 654, 10102
g.20.43.gml.cnf, 399, 7988
g.20.45.gml.cnf, 1092, 14098
g.20.46.gml.cnf, 2334, 23832
g.20.47.gml.cnf, 750, 11232
g.20.48.gml.cnf, 750, 11224
g.20.49.gml.cnf, 892, 11948
g.20.5.gml.cnf, 442, 8670
g.20.50.gml.cnf, 1270, 15182
g.20.51.gml.cnf, 442, 8726
g.20.52.gml.cnf, 399, 8220
g.20.53.gml.cnf, 465, 8634
g.20.6.gml.cnf, 750, 10384
g.20.7.gml.cnf, 567, 9118
g.20.8.gml.cnf, 514, 9232
g.20.9.gml.cnf, 399, 8292
g.21.0.gml.cnf, 440, 8544
g.21.1.gml.cnf, 4214, 40260
g.21.10.gml.cnf, 6650, 60948
g.21.11.gml.cnf, 485, 10022
g.21.12.gml.cnf, 462, 9738
g.21.13.gml.cnf, 875, 12440
g.21.14.gml.cnf, 440, 9552
g.21.15.gml.cnf, 674, 11298
g.21.17.gml.cnf, 587, 10834
g.21.2.gml.cnf, 485, 9750
g.21.22.gml.cnf, 737, 11860
g.21.23.gml.cnf, 644, 11184
g.21.24.gml.cnf, 644, 11184
g.21.27.gml.cnf, 1484, 17294
g.21.29.gml.cnf, 462, 9770
g.21.3.gml.cnf, 440, 9552
g.21.30.gml.cnf, 440, 9656
g.21.31.gml.cnf, 440, 9664
g.21.33.gml.cnf, 705, 11798
g.21.34.gml.cnf, 485, 10054
g.21.35.gml.cnf, 1244, 15816
g.21.37.gml.cnf, 770, 11996
g.21.4.gml.cnf, 509, 10180
g.21.40.gml.cnf, 440, 9640
g.21.41.gml.cnf, 737, 12068
g.21.45.gml.cnf, 587, 10618
g.21.5.gml.cnf, 485, 9350
g.21.6.gml.cnf, 509, 10300
g.21.8.gml.cnf, 534, 10476
g.21.9.gml.cnf, 560, 10638
g.22.0.gml.cnf, 791, 13392
g.22.12.gml.cnf, 530, 11368
g.22.14.gml.cnf, 726, 12994
g.22.15.gml.cnf, 506, 11330
g.22.17.gml.cnf, 608, 12038
g.22.18.gml.cnf, 695, 12846
g.22.19.gml.cnf, 608, 12206
g.22.20.gml.cnf, 636, 12396
g.22.21.gml.cnf, 530, 11456
g.22.23.gml.cnf, 483, 9998
g.22.24.gml.cnf, 483, 11062
g.22.25.gml.cnf, 483, 11078
g.22.26.gml.cnf, 483, 11062
g.22.27.gml.cnf, 483, 11046
g.22.30.gml.cnf, 530, 11360
g.22.31.gml.cnf, 971, 14846
g.22.35.gml.cnf, 1091, 15680
g.22.36.gml.cnf, 483, 10966
g.22.37.gml.cnf, 581, 11642
g.22.39.gml.cnf, 506, 11266
g.22.4.gml.cnf, 758, 13168
g.22.41.gml.cnf, 581, 11914
g.22.42.gml.cnf, 581, 11914
g.22.44.gml.cnf, 581, 11914
g.22.49.gml.cnf, 758, 13176
g.22.50.gml.cnf, 530, 11440
g.22.51.gml.cnf, 483, 9998
g.22.52.gml.cnf, 483, 11086
g.22.54.gml.cnf, 726, 12786
g.22.60.gml.cnf, 555, 11704
g.22.62.gml.cnf, 1358, 17474
g.22.66.gml.cnf, 581, 11922
g.22.67.gml.cnf, 555, 11704
g.22.68.gml.cnf, 555, 11704
g.22.69.gml.cnf, 1455, 19104
g.22.7.gml.cnf, 758, 13456
g.22.70.gml.cnf, 1050, 15800
g.22.76.gml.cnf, 860, 14094
g.22.8.gml.cnf, 483, 11222
g.22.9.gml.cnf, 483, 11174
g.23.1.gml.cnf, 748, 14204
g.23.100.gml.cnf, 780, 14794
g.23.102.gml.cnf, 748, 14428
g.23.103.gml.cnf, 813, 15042
g.23.106.gml.cnf, 847, 15356
g.23.107.gml.cnf, 847, 15380
g.23.108.gml.cnf, 847, 15380
g.23.11.gml.cnf, 630, 13528
g.23.112.gml.cnf, 528, 12628
g.23.115.gml.cnf, 748, 14516
g.23.117.gml.cnf, 780, 14762
g.23.118.gml.cnf, 687, 13798
g.23.119.gml.cnf, 577, 13138
g.23.12.gml.cnf, 630, 13568
g.23.121.gml.cnf, 577, 13202
g.23.13.gml.cnf, 717, 14240
g.23.14.gml.cnf, 658, 13710
g.23.15.gml.cnf, 577, 13074
g.23.16.gml.cnf, 717, 14128
g.23.17.gml.cnf, 687, 13910
g.23.18.gml.cnf, 577, 12850
g.23.19.gml.cnf, 603, 13236
g.23.2.gml.cnf, 528, 12732
g.23.20.gml.cnf, 847, 14908
g.23.21.gml.cnf, 1032, 15532
g.23.22.gml.cnf, 528, 12756
g.23.37.gml.cnf, 528, 12740
g.23.39.gml.cnf, 577, 13122
g.23.4.gml.cnf, 630, 13440
g.23.40.gml.cnf, 630, 13464
g.23.41.gml.cnf, 658, 13862
g.23.43.gml.cnf, 630, 13560
g.23.44.gml.cnf, 528, 11132
g.23.45.gml.cnf, 528, 12652
g.23.48.gml.cnf, 528, 12628
g.23.5.gml.cnf, 630, 13440
g.23.67.gml.cnf, 528, 12644
g.23.69.gml.cnf, 528, 12644
g.23.7.gml.cnf, 630, 13560
g.23.71.gml.cnf, 687, 13830
g.23.72.gml.cnf, 603, 12548
g.23.74.gml.cnf, 1198, 15792
g.23.75.gml.cnf, 630, 13272
g.23.76.gml.cnf, 1032, 16596
g.23.77.gml.cnf, 1032, 16596
g.23.8.gml.cnf, 658, 13726
g.23.81.gml.cnf, 2598, 29342
g.23.83.gml.cnf, 1527, 20124
g.23.85.gml.cnf, 2598, 29294
g.23.86.gml.cnf, 2667, 29782
g.23.88.gml.cnf, 847, 15268
g.23.9.gml.cnf, 630, 13432
g.23.90.gml.cnf, 1527, 20124
g.23.92.gml.cnf, 847, 15268
g.23.96.gml.cnf, 2737, 30320
g.23.98.gml.cnf, 630, 13360
g.23.99.gml.cnf, 630, 13200
g.24.0.gml.cnf, 771, 15818
g.24.1.gml.cnf, 600, 14216
g.24.15.gml.cnf, 681, 15252
g.24.16.gml.cnf, 803, 16224
g.24.17.gml.cnf, 626, 14786
g.24.18.gml.cnf, 710, 15452
g.24.19.gml.cnf, 653, 15182
g.24.2.gml.cnf, 771, 16106
g.24.26.gml.cnf, 653, 15038
g.24.29.gml.cnf, 681, 15268
g.24.3.gml.cnf, 771, 16010
g.24.30.gml.cnf, 681, 15316
g.24.33.gml.cnf, 771, 16154
g.24.34.gml.cnf, 1095, 18456
g.24.35.gml.cnf, 1095, 18456
g.24.36.gml.cnf, 740, 15838
g.24.37.gml.cnf, 575, 14216
g.24.38.gml.cnf, 653, 14374
g.24.39.gml.cnf, 2690, 31356
g.24.41.gml.cnf, 1310, 20412
g.24.43.gml.cnf, 2760, 31886
g.24.44.gml.cnf, 710, 15180
g.24.45.gml.cnf, 626, 14482
g.24.46.gml.cnf, 1136, 18320
g.24.47.gml.cnf, 1451, 21056
g.24.48.gml.cnf, 941, 17140
g.24.6.gml.cnf, 803, 16168
g.24.7.gml.cnf, 803, 16312
g.24.8.gml.cnf, 803, 16312
g.24.9.gml.cnf, 710, 15436
g.25.0.gml.cnf, 929, 18590
g.25.1.gml.cnf, 17504, 159872
g.25.12.gml.cnf, 734, 17164
g.25.13.gml.cnf, 734, 17092
g.25.16.gml.cnf, 734, 17244
g.25.18.gml.cnf, 1160, 20520
g.25.21.gml.cnf, 677, 16694
g.25.22.gml.cnf, 677, 16694
g.25.26.gml.cnf, 965, 19212
g.25.28.gml.cnf, 965, 19212
g.25.32.gml.cnf, 1334, 21780
g.25.33.gml.cnf, 1334, 21780
g.25.34.gml.cnf, 1334, 21780
g.25.36.gml.cnf, 2645, 31684
g.25.37.gml.cnf, 624, 16120
g.25.38.gml.cnf, 624, 16208
g.25.4.gml.cnf, 734, 17212
g.25.40.gml.cnf, 965, 19212
g.25.43.gml.cnf, 1334, 21780
g.25.45.gml.cnf, 1334, 21780
g.25.46.gml.cnf, 734, 17092
g.25.47.gml.cnf, 734, 17172
g.25.48.gml.cnf, 705, 16916
g.25.49.gml.cnf, 650, 16530
g.25.5.gml.cnf, 860, 18128
g.25.51.gml.cnf, 650, 16530
g.25.52.gml.cnf, 650, 16322
g.25.53.gml.cnf, 795, 17794
g.25.55.gml.cnf, 1427, 23130
g.25.6.gml.cnf, 764, 17366
g.25.7.gml.cnf, 795, 17666
g.25.8.gml.cnf, 734, 17084
g.25.9.gml.cnf, 764, 17350
g.26.0.gml.cnf, 852, 19520
g.26.1.gml.cnf, 1065, 21318
g.26.10.gml.cnf, 675, 16250
g.26.11.gml.cnf, 852, 19768
g.26.12.gml.cnf, 675, 18034
g.26.13.gml.cnf, 1405, 24014
g.26.17.gml.cnf, 702, 18550
g.26.19.gml.cnf, 702, 18550
g.26.2.gml.cnf, 919, 20338
g.26.20.gml.cnf, 702, 18550
g.26.22.gml.cnf, 919, 20082
g.26.23.gml.cnf, 852, 19816
g.26.24.gml.cnf, 852, 19872
g.26.26.gml.cnf, 852, 19816
g.26.27.gml.cnf, 852, 19880
g.26.29.gml.cnf, 1144, 21576
g.26.3.gml.cnf, 852, 19664
g.26.30.gml.cnf, 919, 20434
